requirement,configuration
"Simulate the IP service by configuring UDP Jitter Operation Parameters such as udp-jitter num-packets, request-data-size, response-data-size, udp-jitter interval, and frequency (IP SLA).","1. UDP Jitter Operation Parameter: udp-jitter num-packets with 10 packets.
2. Number of packets (N): not specified in the given text.
3. Payload size per request packet (S): 10 bytes.
4. Response data size: varies depending on the type of IP SLAs operation configured, or the same as request data size if response-data-size command is not configured.
5. Payload size per response packet (P): not specified in the given text.
6. Time between packets, in milliseconds (T): 10 ms.
7. Elapsed time before operation repeats, in seconds (F): 60 seconds."
Enable IP SLAs responder functionality on a Cisco device.,"1. Enter privileged EXEC mode: enable
2. Enter global configuration mode: Device> enable, configure terminal
3. (Optional) Temporarily enable IP SLAs responder functionality for control messages from the source: ip sla responder [ipaddress ip-address port] [portvrf vrf]
4. Exit global configuration mode and return to privileged EXEC mode: end"
Configuring a Basic UDP Jitter Operation on a Source Device,"udp-jitter {destination-ip-address | destination-hostname} destination-port [source-ip {ip-address | hostname}] [source-port port-number] [control {enable | disable}] [num-packets number-of-packets] [interval interpacket-interval]
[frequency seconds]"
Configure the frequency of an IP SLA operation in seconds.,Device(config-ip-sla-jitter)# frequency 30
Enable and configure IP SLAs Responder on the target device for UDP jitter operation.,"1. enable
2. configure terminal
3. ip sla operation-number
4. udp-jitter {destination-ip-address | destination-hostname} destination-port [source-ip {ip-address | hostname}] [source-port port-number] [control {enable | disable}] [num-packets number-of-packets] [interval interpacket-interval]
5. history distributions-of-statistics-kept size
6. history enhanced [interval seconds] [buckets number-of-buckets]
7. frequency seconds
8. history hours-of-statistics-kept hours
9. owner owner-id
10. request-data-size bytes
11. response-data-size bytes
12. history"
Set the number of hours for which statistics are maintained for an IP SLA jitter operation.,frequency 30
Device should be able to configure IP SLAs operation using user-specified identifier and threshold value for network monitoring statistics.,"statistics-distribution-interval 10
tag TelnetPollServer1
threshold milliseconds 10000"
Configure the percentile option for IP SLAs operations.,"Use the ""show ip sla configuration"" command to display configuration values and defaults for all IP SLAs operations or a specified operation. To configure the percentile option, follow the instructions in the ""Configuring the IP SLAs—Percentile Support for Filtering Outliers"" module."
• Configure scheduling parameters for an individual IP SLAs operation.,"Device(config)# ip sla schedule 10 life forever
Device(config)# ip sla schedule 10 start-time now"
1. Configure IP SLAs group schedule 10 with a frequency of 'now' and a schedule period that lasts forever.,"1. Device(config)# ip sla group schedule 10
   schedule-period forever start-time now
2. Device(config)# ip sla group schedule 1 3,4,6-9
   life forever start-time now
3. Device(config)# ip sla schedule 1 3,4,6-9
   schedule-period 50 frequency range 80-100"
To add proactive threshold conditions and reactive triggering for generating traps (or for starting another operation) to an IP Service Level Agreements (SLAs) operation.,"Configure Proactive Threshold Monitoring as described in the ""Configuring Proactive Threshold Monitoring"" section."
- Display IP SLAs configuration details,"- Device# show ip sla configuration
- IP SLAs Infrastructure Engine-III
- Entry number: 5
- Owner: ownername
- Tag: text
- Operation timeout (milliseconds): 9999
- Type of operation to perform: udp-jitter
- Target address/Source address: 192.0.2.115/0.0.0.0
- Target port/Source port: 5/0
- Type Of Service parameter: 0x5
- Request size (ARR data portion): 100
- Response size (ARR data portion): 200
- Packet Interval (milliseconds)/Number of packets: 20/10
- Verify data: No
- Operation Stats Precision : microseconds
- Timestamp Location Optimization: enabled
- Operation Packet Priority : high
- NTP Sync Tolerance : 0 percent
- Vrf Name:
- Control Packets: enabled"
Monitor UDP jitter performance using IP SLAs.,udp-jitter 192.0.2.115 65052 num-packets 20 interval 10 request-data-size 20
IP SLAs responder functionality on a Cisco device in response to control messages from the source device.,ip sla responder
"UDP jitter operation with one-way delay measurements should return values of ""0"".",All devices must be part of the same VRF for IP SLAs multicast operations to succeed.
Configure IP SLAs Responder on a Destination Device without configuring a permanent port for a sender.,"1. enable
2. configure terminal
3. Enter one of the following commands:
• ip sla responder
• ip sla responder udp-echo ipaddress ip-address port portvrf vrf"
Enable IP SLAs responder functionality on a specific port and VRF.,Device(config)# ip sla responder [udp-echo | jitter-echo | path-echo] [ipaddress] [port] [vrf vrf_name]
Exit global configuration mode and return to privileged EXEC mode.,end
Adding multicast responder IP addresses to the endpoint list.,Device(config-epl)# ip-address [IP address] port [port number].
"UDP jitter operations with history buckets, history filter, history lives-kept, samples-of-history-kept, and show ip sla history.",MIB used by IP SLAs (CISCO-RTTMON-MIB) limits the hours-of-statistics kept for UDP jitter operation to two hours. Configuring a larger value using the history hours-of-statistics hours global configuration change will not increase the value beyond two hours.
IP SLAs Multicast Support,Configuring Multicast UDP Jitter Operations
Configure UDP Jitter operations for a multicast endpoint using IP SLAs on Cisco IOS XE Gibraltar.,"1. Set the destination IP address or hostname and port number.
2. Define the list of source endpoints (endpoint-list).
3. Specify the source IP address, source port number, number of packets, and interpacket interval.
4. Use the ""udp-jitter"" command to enable the Jitter operation."
Control retry retries and control timeout seconds,"control retry 2, control timeout 4"
Configure IP SLA operations for multicast jitter measurements.,"- Set the history interval and number of buckets using the ""history enhanced"" command.
- Use the ""frequency"" command to set the rate at which the operation repeats.
- Use the ""history hours-of-statistics-kept"" command to set the number of hours for which statistics are maintained.
- Configure the SNMP owner of an IP SLA operation using the ""owner owner-id"" command."
Configure the scheduling parameters for an individual IP SLAs operation.,"Enter one of the following commands:
• Configures the scheduling parameters for an individual IP SLAs operation:
   - ip sla schedule operation-number [life {forever | seconds}] [start-time {[hh:mm:ss] [month day | day month]}]
   • Specifies an IP SLAs operation group number and the range of operation numbers for a multioperation scheduler:
     - ip sla group schedule group-operation-number operation-id-numbers {schedule-period schedule-period-range | schedule-together} [ageout seconds] frequency group-operation-frequency [life {forever | seconds}] [start-time {hh:mm [:ss] [month day | day month]}]"
Enable data verification for IP SLA operation and troubleshoot issues with an IP SLAs operation.,Add the verify-data command to the configuration while configuring in IP SLA configuration mode. Use debug ip sla trace and debug ip sla error commands to help troubleshoot issues with an IP SLAs operation.
"Multicast UDP jitter operation for measuring and reporting statistics such as one way latency, jitter, and packet loss for each multicast receiver in a user-specified multicast group.","clock-tolerance ntp oneway, control (IP SLA), dscp"
Configure an IP Service Level Agreements (SLAs) User Datagram Protocol (UDP) jitter operation to proactively monitor Voice over IP (VoIP) quality levels in your network.,N/A (The text does not provide a specific configuration for the requirement.)
IP SLAs UDP Jitter Operations for VoIP,"UDP traffic, no support for RTP"
Calculate the Impairment Factor to quantify key impairments affecting voice quality in a network.,"ICPIF = Io + Iq + Idte + Idd + Ie - A, where Io represents impairments caused by non-optimal loudness rating, Iq represents impairments caused by PCM quantizing distortion, Idte represents impairments caused by talker echo, Idd represents impairments caused by one-way transmission times (one-way delay), Ie represents impairments caused by equipment effects, and A is a user-defined access Advantage Factor."
"IP SLAs VoIP UDP Operation should take advantage of observed correspondences between ICPIF, transmission rating factor R, and MOS values without yet supporting the E-Model.",IP SLAs uses a simplified ICPIF formula (defined in more detail later in the document).
Configuring IP SLAs UDP Jitter Operations for VoIP,Mean Opinion Scores (MOS)
"VoIP UDP Jitter Operation Parameters for different codecs (g711 mu-Law, g711 A-Law, G.729A)","- Frequency of Probe Operations (f): Once every 1 minute
- Default Number of Packets (n): 1000
- Default Interval BetweenPackets (t): 20 ms for g711 mu-Law and g711 A-Law, 20 + 12 RTP bytes for G.729A
- Default Request Size (Packet Payload) (s): 180 bytes for g711 mu-Law and g711 A-Law, 20 + 12 RTP bytes for G.729A"
The default Advantage Factor for IP SLAs VoIP UDP jitter operations should always be zero.,"The E model, as defined in G.107 (03/2003), is used to predict the subjective quality experienced by an average listener by combining the impairment caused by transmission parameters into a single rating, the transmission rating factor R (the R Factor)."
Configuring IP SLAs UDP Jitter Operations for VoIP,Configure the IP SLAs Responder on a Destination Device and ensure it does not configure a permanent port for a sender.
Configure IP SLAs responder functionality on a Cisco device.,"Enter one of the following commands in privileged EXEC mode and global configuration mode:
• ip sla responder
• ip sla responder udp-echo ipaddress ip-address port portvrf vrf"
Configuring the IP SLAs Responder on a Destination Device,Device(config)# ip sla response-code <response-code> [<input-string>]
Configuring and Scheduling an IP SLAs VoIP UDP Jitter Operation,"- G.711 A Law (g711alaw: 64 kbps PCM compression method)
- G.711 mu Law (g711ulaw: 64 kbps PCM compression method)
- G.729A (g729a: 8 kbps CS-ACELP compression method)"
Statistic distribution interval (milliseconds),udp-jitter {destination-ip-address | destination-hostname} destination-port codec codec-type [codec-numpackets number-of-packets] [codec-size number-of-bytes] [codec-interval milliseconds] [advantage-factor value] [source-ip {ip-address | hostname}] [source-port port-number] [control {enable | disable}]
Enabling enhanced history gathering for an IP SLAs operation,history enhanced interval seconds buckets number-of-buckets
Configure SNMP owner for an IP SLAs operation.,"Device(config-ip-sla-jitter)# owner admin

Requirement: Create a user-specified identifier for an IP SLAs operation.
Configuration: Device(config-ip-sla-jitter)# tag TelnetPollServer1

Requirement: Set the upper threshold value for calculating network monitoring statistics created by an IP SLAs operation.
Configuration: Device(config-ip-sla-jitter)# threshold 10000

Requirement: Set the amount of time an IP SLAs operation waits for a response from its request packet.
Configuration: Device(config-ip-sla-jitter)# timeout 10000"
Scheduling IP SLAs Operations with configuration values including all defaults for all IP SLAs operations or a specified operation.,show ip sla configuration [operation-number]
Implement a UDP jitter monitoring using IP SLAs to measure the quality of voice calls (VoIP),"- Enable UDP Jitter operation on device with target address 209.165.200.225 and source address 0.0.0.0, target port 16384, using codec g711alaw and advantage factor 2
- Configure the UDP jitter operation to start immediately (start-time now)
- Set the owner of the operation to admin_bofh"
Jitter Operation with Codec Type g711alaw,"Source port: 0, Operation timeout (milliseconds): 5000, Codec Number Of Packets: 1000, Codec Packet Size: 172, Codec Interval (milliseconds): 20, Advantage Factor: 2, Type Of Service parameters: 0x0, Verify data: No, Vrf Name: N/A, Control Packets: enabled, Operation frequency (seconds): 60, Next Scheduled Start Time: Start Time already passed, Life (seconds): 3600, Entry Ageout (seconds): never, Status of entry (SNMP RowStatus): Active, Connection loss reaction enabled: No, Timeout reaction enabled: No, Verify error enabled: No, Threshold reaction type: Never, Threshold (milliseconds): 5000, Threshold Falling (milliseconds): 3000, Threshold Count: 5, Threshold Count2: 5, Reaction Type: None, Number of statistic hours kept: 2, Number of statistic distribution buckets kept: 1, Statistic distribution interval (milliseconds): 20, Enhanced History: N/A"
Configuring IP SLAs UDP Jitter Operations for VoIP,Not provided in the text.
"Monitor and measure jitter, packet loss, delay, and round-trip time in a network.",Use IP SLAs UDP jitter operation to gather data and perform per-direction measurements (source to destination and destination to source).
"Simulation of UDP traffic with customizable packet sizes, interval, and frequency.","Number of packets (N), Packet size (S), Interval between packets (T), Frequency of operation (F)."
"Measurement of UDP jitter using IP SLAs operations for metrics like round-trip time, one-way delay, jitter, and packet loss.","- udp-jitter num-packets: 10 packets
- Number of packets (N): 10 packets
- request-data-size: 10 bytes
- Payload size per request packet (S): 10 bytes
- response-data-size: Varies depending on the type of IP SLAs operation
- Payload size per response packet (P): Not mentioned in the text
- udp-jitter interval: 10 ms
- Time between packets, in milliseconds (T): 10 ms
- frequency (IP SLA): 60 seconds
- Elapsed time before the operation repeats, in seconds (F): 60 seconds"
Time synchronization between source and target devices for accurate one-way delay measurements using NTP.,"Enhanced UDP probe and enhanced responder, Cisco software images that support QFP time stamping and optimized time stamp location for more accurate RTT measurements."
Configuring the IP SLAs Responder on the Destination Device without a permanent port for the same sender.,"1. Enable
2. Configure terminal
3. Do one of the following:
   • ip sla responder
   • ip sla responder udp-echo {ip-address}
   ip-address
   port port"
Configure a UDP jitter probe with QFP time stamping on the source device.,"udp-jitter {destination-ip-address | destination-hostname} destination-port [source-ip {ip-address | hostname}] [source-port port-number] [control {enable | disable}] [num-packets number-of-packets] [interval interpacket-interval]
5. frequency seconds
6. precision microseconds
8. optimize timestamp"
Enable privileged EXEC mode and configure an IP SLAs operation for UDP jitter.,Device# enable; configure terminal; ip sla; operation-number; Device(config)# ip sla 10; udp-jitter {destination-ip-address | destination-hostname}; destination-port [source-ip {ip-address | hostname}]; [source-port port-number] [control {enable | disable}]; [num-packets number-of-packets] [interval interpacket-interval]
"Display configuration values for IP SLAs operations, including all defaults and options for a specified operation (operation-number)",show ip sla configuration [operation-number]
Configuring a UPD Jitter Operation with QFP Time Stamping and Additional Characteristics,"XE Gibraltar 16.11.x, IP SLAs QFP Time Stamping, 67"
"Enhanced history gathering for IP SLA operation with specified interval, buckets, frequency, and hours of statistics kept.","history enhanced [interval seconds] [buckets number-of-buckets], frequency [seconds], history hours-of-statistics-kept [hours]."
Set the time interval for each statistics distribution kept for an IP SLAs operation.,history statistics-distribution-interval milliseconds
Set the timeout for an IP SLAs operation in milliseconds.,Device(config-ip-sla-jitter)# timeout [milliseconds]
The frequency of all operations scheduled in a multioperation group must be the same.,"The list of one or more operation ID numbers to be added to a multioperation group must be limited to a maximum of 125 characters in length, including commas (,)."
Configuring a UDP Operation with QFP Time Stamping and Optimized Timestamp Location,"- ip sla 1
- udp-jitter 192.0.2.134 5000 num-packets 20
- request-data-size 160
- tos 128
- frequency 30
- precision microseconds
- !enables QFP time stamping
- optimize timestamp
- ip sla schedule 1 start-time after 00:05:00
- ip sla 2
- udp-jitter 192.0.2.134 65052 num-packets 20 interval 10
- request-data-size 20
- tos 64
- frequency 30
- precision microseconds
- optimize timestamp
- ip sla schedule 2 start-time after 00:05:05"
"Locate and download MIBs for selected platforms, Cisco IOS releases, and feature sets using Cisco MIB Locator.",Not provided in the text.
"Enable IP SLAs Cisco Packet Processor (CPP) time stamping to improve the accuracy of IP SLAs UDP jitter operations, and optimize the time stamp location for more accurate RTT measurements on Cisco ASR 1000 Series routers.","Introduced or modified commands: optimize timestamp, precision microseconds, show ip sla configuration."
Configuring IP SLAs LSP Health Monitor,"The module describes the process of configuring an IP Service Level Agreements (SLAs) label switched path (LSP) Health Monitor. This feature enables the proactive monitoring of Layer 3 Multiprotocol Label Switching (MPLS) Virtual Private Networks (VPNs). It provides automated end-to-end verification in both control plane and data plane for all LSPs between participating Provider Edge (PE) devices. The end-to-end (PE-to-PE device) approach ensures that LSP connectivity is verified along the paths customer traffic is sent, helping to detect customer-impacting network connectivity issues within the MPLS core using the LSP Health Monitor. Once configured, the LSP Health Monitor will automatically create and delete IP SLAs LSP ping or LSP traceroute operations based on network topology."
Participating PE devices of an LSP Health Monitor operation must support the MPLS LSP ping feature. It is recommended that the Provider (P) devices also support the MPLS LSP Ping feature for complete error reporting and diagnostics information.,"The specific configuration settings are not provided in the text, but it mentions that both PE devices and Provider devices should support the MPLS LSP ping feature for an effective Health Monitor operation."
Enough memory to support the desired LSP Health Monitor functionality.,"Enabling the LSP discovery option, IP SLAs Responder not required on destination PE devices."
Configuring IP SLAs LSP Health Monitor Operations,Restrictions for LSP Health Monitor Operations
Multioperation scheduling parameters for the LSP Health Monitor operation,User-defined multioperation scheduling parameters for the LSP Health Monitor operation. The start time and frequency of each measurement depend on these parameters.
Filtering BGP Next Hop Neighbors with Standard IP Access Lists,IP SLAs access list parameter and associated standard IP access list for filtering BGP next hop neighbors discovered by the LSP Health Monitor.
BGP next hop neighbor discovery process for finding BGP next hop neighbors in use by any VRF associated with the source PE device.,"A database of BGP next hop neighbors in use by any VRF associated with the source PE device is generated based on information from the local VRF and global routing tables. As routing updates are received, new BGP next hop neighbors are added to and deleted from the database immediately."
"BGP next hop neighbor discovery process enabled on device PE1, distinguishing which next hop devices belong within which particular VRF.",The IPv4 Forward Equivalence Class (FEC) of the BGP next hop device in the global routing table is provided for each next hop device entry.
Measure network connectivity across all equal-cost multipaths between the source PE device and discovered destination PE device using an IP SLAs superoperation with an IP SLAs LSP ping.,"The IP SLAs superoperation adjusts the LSP ping 127/8 LSP selector IP address for each discovered equal-cost multipath, allowing it to send LSP ping packets to the destination PE device using the identified LSP selector IP addresses for directing the superoperation across the paths."
BGP next hop neighbor assignment with unique identification number starting with the number 1 for MPLS VPN core network.,"Device PE1 as source PE device for LSP Health Monitor operation with LSP discovery option enabled, and device PE2 and PE3 discovered by BGP discovery process as BGP next hop neighbors to device PE1."
Store results as group averages representative of equal-cost multipaths within the LSP discovery group for a given one-hour increment.,"• 127/8 destination IP address (LSP selector) within the local host IP address range
• PE outgoing interface"
Monitoring network connectivity between the source PE device and destination PE devices using IP SLAs LSP ping and LSP traceroute operations.,"Automatically created when using LSP Health Monitor, or manually configured for troubleshooting connectivity issues."
"Proactive threshold monitoring support for the LSP Health Monitor feature, which triggers SNMP trap notifications and syslog messages when user-defined reaction conditions (such as connection loss or timeout) are met. Configuring threshold monitoring for an LSP Health Monitor operation is similar to configuring threshold monitoring for a standard IP SLAs operation.","Threshold monitoring enabled for LSP Health Monitor operation, SNMP trap notifications generated on failure of LSP discovery for a particular BGP next hop neighbor or when the operational status of an LSP discovery group changes."
Testing the status of paths belonging to a group and monitoring LSP Health using primary and secondary frequencies.,"The group status can be UP, PARTIAL, or DOWN; secondary frequency option allows for faster remeasurement rate in case of detected failure."
"Multioperation scheduling support for the LSP Health Monitor feature, providing capability to schedule automatically created IP SLAs operations with intervals equally distributed over a specified duration of time and restart at a specified frequency.",N/A (not provided in the text)
Enable MPLS discovery VPN Next-Hop using the auto ip sla mpls-lsp-monitor command.,"Device(config)# auto ip sla mpls-lsp-monitor 1
type echo [ipsla-vrf-all | vrf vpn-name] (optional, if specific VPN name is required)"
Specify the experimental field value in the header for an echo request packet of an IP SLAs operation.,exp exp-bits
Set the secondary frequency for IP SLAs operation in case of a reaction condition.,secondary-frequency connection-loss 10
MPLS VPN next-hop neighbor discovery database configuration,mpls discovery vpn next-hop [interval seconds]
Configure an LSP Health Monitor operation using auto IP SLAs MPLS configuration mode.,"1. Enter the auto IP SLAs MPLS configuration mode with the command ""auto ip sla mpls-lsp-monitor operation-number"".
2. Enable the mpls discovery vpn next-hop command with the command ""device(config)# auto ip sla mpls-lsp-monitor 1"".
3. Enter MPLS parameters configuration mode and configure the parameters for an IP SLAs LSP ping operation using the LSP Health Monitor with the command ""type echo [ipsla-vrf-all | vrf vpn-name]""."
LSP Health Monitor operation configuration,"hours-of-statistics-kept, force-explicit-null, interval milliseconds, lsp-selector-base"
Maximum number of BGP next hop neighbors undergoing LSP discovery for a single LSP Health Monitor operation,maximum-sessions
Enable generation of SNMP system logging messages specific to IP SLAs trap notifications.,ip sla logging traps
Configuring and Scheduling an IP SLAs LSP Ping or LSP Traceroute,"1. enable
2. configure terminal
3. ip sla operation-number
4. Do one of the following:
   • mpls lsp ping ipv4 destination-address destination-mask [force-explicit-null] [lsp-selector ip-address] [src-ip-addr source-address] [reply {dscp dscp-value | mode {ipv4 | router-alert}}]
   • mpls lsp trace ipv4 destination-address destination-mask [force-explicit-null] [lsp-selector ip-address] [src-ip-addr source-address] [reply {dscp dscp-value | mode {ipv4 | router-alert}}]
5. exp exp-bits"
Configure an IP SLA operation as either LSP ping or LSP trace operation.,"For LSP ping operation, use the following commands:
1. Enter IP SLAs configuration mode: `Device(config)# ip sla`
2. Enter LSP ping configuration mode: `Device(config-ip-sla)# mpls lsp ping ipv4`
3. Specify destination address, mask, LSP selector, source address, reply options, and other parameters as needed. For example:
```
Device(config-ip-sla)# mpls lsp ping ipv4 192.168.1.4 255.255.255.255 lsp-selector 127.1.1.1 source-address <source_IP> reply {dscp <dscp_value> | mode {ipv4 | router-alert}}
```"
Configure IP SLAs actions based on events and generate SNMP system logging messages for IP SLAs trap notifications.,"ip sla reaction-configuration operation-number [react monitored-element] [threshold-type {never | immediate | consecutive [consecutive-occurrences] | xofy [x-value step 13 y-value] | average [number-of-probes]}] [threshold-value upper-threshold lower-threshold] [action-type {none | trapOnly | triggerOnly | trapAndTrigger}]]
Example:
Device(config)# ip sla reaction-configuration 1 react connectionLoss threshold-type consecutive 3 action-type traponly
ip sla logging traps"
Verifying and Troubleshooting LSP Health Monitor Operations,"1. Debug IP SLAs operation errors with the command ""debug ip sla error [operation-number]""
2. Debug IP SLAs MPLS-LSP-Monitor operations with the command ""debug ip sla mpls-lsp-monitor [operation-number]""
3. Debug IP SLAs trace operations with the command ""debug ip sla trace [operation-number]""
4. Show IP SLAs MPLS-LSP-Monitor collection statistics with the command ""show ip sla mpls-lsp-monitor collection-statistics [group-id]""
5. Show IP SLAs MPLS-LSP-Monitor configuration with the command ""show ip sla mpls-lsp-monitor configuration [operation-number]""
6. Show IP SLAs MPLS-LSP-Monitor LPD operational state with the command ""show ip sla mpls-lsp-monitor lpd operational-state [group-id]""
7. Show IP SLAs MPLS-LSP-Monitor neighbors with the command ""show ip sla mpls-lsp-monitor neighbors""
8. Show IP SLAs MPLS-LSP-Monitor scan queue operations with the command ""show ip sla mpls-lsp-monitor scan-queue operation-number""
9. Show IP SLAs MPLS-LSP-Monitor summary with the command ""show ip sla mpls-lsp-monitor summary [operation-number [group [group-id]]]""
10. Show IP SLAs statistics with the command ""show ip sla statistics [operation-number] [details]""
11. Show IP SLAs aggregated statistics with the command ""show ip sla statistics aggregated [operation-number] [details]""
12. Show MPLS discovery VPN with the command ""show mpls discovery vpn""."
Display the operational status of the LSP discovery groups belonging to an LSP Health Monitor operation,show ip sla mpls-lsp-monitor lpd operational-state [group-id]
Enable and configure the LSP Health Monitor on PE1 to monitor the health of LSPs within the MPLS VPN network.,"Enable the LSP discovery option for Operation 1, and configure it to automatically create IP SLAs LSP ping operations for all BGP next hop neighbors (PE2, PE3, and PE4) in use by all VRFs (red, blue, and green)."
"Configure BGP next hop neighbor discovery database removal time, LSP Health Monitor scan interval, and secondary frequency for connection loss and timeout events.","The time interval at which routing entries that are no longer valid are removed from the BGP next hop neighbor discovery database is set to 60 seconds. The time interval at which the LSP Health Monitor checks the scan queue for BGP next hop neighbor updates is set to 1 minute. The secondary frequency option is enabled for both connection loss and timeout events, and the secondary frequency is set to 10 seconds."
Refresh interval set to 60 seconds.,"Next hop 10.10.10.5 (Prefix: 10.10.10.5/32), Next hop 10.10.10.7 (Prefix: 10.10.10.7/32), and Next hop 10.10.10.8 (Prefix: 10.10.10.8/32)."
Configure LSP Health Monitor with LSP Discovery on PE1 to monitor equal-cost multipaths between PE1 and PE2.,"Enable LSP discovery option for operation 100, set time interval for removing invalid routing entries to 30 seconds, set time interval for checking scan queue for BGP next hop neighbor updates to 1 minute, enable secondary frequency option for both connection loss and timeout events, and set secondary frequency to 5 seconds."
"Enable explicit null label option for echo request packets, set LSP rediscovery time period to 3 minutes, enable SNMP trap notification when LSP discovery group status changes occur, and configure multioperation scheduling and IP SLAs SNMP system logging messages.","Enabled explicit null label option for echo request packets, set LSP rediscovery time period to 3 minutes, enable proactive threshold monitoring configuration for SNMP trap notification on LSP discovery group status changes, and enable multioperation scheduling and IP SLAs SNMP system logging messages."
LSP Discovery Configuration,"- TTL value: 255
- Reply Mode: ipv4
- Path Discover: Enable
- Maximum sessions: 1
- Session Timeout(seconds): 120
- Base LSP Selector: 127.0.0.0
- Echo Timeout(seconds): 5
- Send Interval(msec): 0
- Label Shimming Mode: force-explicit-null
- Number of Stats Hours: 2
- Scan Period(minutes): 3
- Secondary Frequency: Enabled on Connection Loss and Timeout, Value(sec): 5"
MPLS discovery VPN configuration and refresh interval settings,"Refresh interval set to 30 seconds, Next refresh in 4 seconds"
LSP discovery and monitoring for MPLS network paths.,"- Discovery Completion Time(ms): 3052
- Number of Paths Discovered: 3
- Path Information (example):
  - LSP: 100001, PE1# show ip sla mpls-lsp-monitor collection-statistics
    - Entry number: 100001
    - Start Time Index: *21:52:59.795 GMT Tue Jun 20 2006
    - Path Discovery Start Time: *22:08:04.507 GMT Tue Jun 20 2006
    - Target Destination IP address: 192.168.1.11
    - Path Discovery Status: OK
    - LSP Group Index: 100002
    - LSP Group Status: up
    - Total Pass: 36
    - Total Timeout: 0
    - Total Fail: 0
    - Latest Probe Status: 'up,up,up'
    - Latest Path Identifier:"
Manually configure and schedule an IP SLAs LSP ping operation.,ip sla 1 mpls lsp ping ipv4 192.168.1.4 255.255.255.255 lsp-selector 127.1.1.1 frequency 120 secondary-frequency timeout 30
